title;link;published
[자유기고] 아동학대와 교권, 무엇이 아동학대인가 - 법조신문;https://news.google.com/rss/articles/CBMiPWh0dHA6Ly9uZXdzLmtvcmVhbmJhci5vci5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89Mjc2OTDSAQA?oc=5;2023-06-26 07:00:00
'학생 인권과 교권 함께'… 경기동부교권보호지원센터 개관 - 경기신문;https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3LmtnbmV3cy5jby5rci9tb2JpbGUvYXJ0aWNsZS5odG1sP25vPTc1MjU3OdIBAA?oc=5;2023-06-20 07:00:00
날개 없이 추락하는 교권 - 한국일보;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjMwNjE1MDU0MTAwMDU1MzjSAQA?oc=5;2023-06-15 07:00:00
[World Now] 중국도 교권 추락?‥여교사 머리채 잡고 폭행 - MBC뉴스;https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMy93b3JsZC9hcnRpY2xlLzY0OTM0NjNfMzYxMzMuaHRtbNIBQmh0dHBzOi8vaW1uZXdzLmltYmMuY29tL25ld3MvMjAyMy93b3JsZC9hcnRpY2xlLzY0OTM0NjNfMzYxMzQuaHRtbA?oc=5;2023-06-14 07:00:00
'교원평가 성희롱' 교권 침해, 수사의뢰 가능…퇴학 경고 문구도 제기 - 뉴스핌;https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3Lm5ld3NwaW0uY29tL25ld3Mvdmlldy8yMDIzMDYxMjAwMDQ4NdIBMWh0dHBzOi8vbS5uZXdzcGltLmNvbS9uZXdzYW1wL3ZpZXcvMjAyMzA2MTIwMDA0ODU?oc=5;2023-06-12 07:00:00
흔들리는 교권, 전북 교원단체 뿔났다 - 전북일보;https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmpqYW4ua3IvYXJ0aWNsZS8yMDIzMDYwNTU4MDA1M9IBLWh0dHBzOi8vd3d3LmpqYW4ua3IvYXJ0aWNsZUFtcC8yMDIzMDYwNTU4MDA1Mw?oc=5;2023-06-05 07:00:00
"'교권침해-아동학대-학교폭력' 트라이앵글...""학교에 파고든 법화사회가 ... - 교육플러스";https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmVkcGwuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTkzODDSAQA?oc=5;2023-06-04 07:00:00
[사설] 떠나는 교사들, 교권 확립 위한 대책 절실하다 - 울산매일;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lml1c20uY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTEwMTYxNzPSAT1odHRwczovL3d3dy5pdXNtLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz0xMDE2MTcz?oc=5;2023-05-30 07:00:00
[위기의 교권] ②늘어나는 교권침해 사건, 그간 어떤 입법 활동이 진행 ... - 교육플러스;https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmVkcGwuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTkyNzTSAQA?oc=5;2023-05-24 07:00:00
존폐 논쟁 충남학생인권조례 '교권 추락' 근거 있나? - 디트뉴스24;https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmR0bmV3czI0LmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NzQ2MjUw0gEA?oc=5;2023-05-24 07:00:00
