Title;Link;Published;redirect;redirectLink;articleImage;articleBody
CJ올리브네트웍스, KT 지니 TV HDR10+ 전환 서비스 제공 - ZD넷 코리아;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMzA1MTgxNjIzMTPSAQA?oc=5;2023-05-18 07:00:00;;;;
파폴, 2023 여름방학 캠프 조기신청 할인 실시 - 이뉴스투데이;https://news.google.com/rss/articles/CBMiP2h0dHA6Ly93d3cuZW5ld3N0b2RheS5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MTY2MDQ2MtIBQmh0dHA6Ly93d3cuZW5ld3N0b2RheS5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89MTY2MDQ2Mg?oc=5;2023-05-10 07:00:00;;;;
민사고 2023 여름방학 리더십 영어캠프(GLPS).. 9일부터 '선착순 350명 내외' - 베리타스알파;https://news.google.com/rss/articles/CBMiO2h0dHA6Ly93d3cudmVyaXRhcy1hLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDU1OTgz0gE-aHR0cDovL3d3dy52ZXJpdGFzLWEuY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz00NTU5ODM?oc=5;2023-05-08 07:00:00;;;;
영어로 진행되는 융합과학캠프 ‘초등 영어 스템 디. 캠프’ - 헤럴드경제;https://news.google.com/rss/articles/CBMiNWh0dHA6Ly9tYml6LmhlcmFsZGNvcnAuY29tL3ZpZXcucGhwP3VkPTIwMjMwNDI4MDAwNzIw0gE6aHR0cHM6Ly9tYml6LmhlcmFsZGNvcnAuY29tL2FtcC92aWV3LnBocD91ZD0yMDIzMDQyODAwMDcyMA?oc=5;2023-05-01 07:00:00;;;;
스즈메의 문단속, 과몰입하는 사람들 - 뉴시스;https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMzA0MjRfMDAwMjI3ODUwMtIBRWh0dHBzOi8vbW9iaWxlLm5ld3Npcy5jb20vdmlld19hbXAuaHRtbD9hcl9pZD1OSVNYMjAyMzA0MjRfMDAwMjI3ODUwMg?oc=5;2023-04-27 07:00:00;;;;
대전교육연수원, 2023학년도 대전영어캠프(DEC) 운영 - 충청뉴스;https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LmNjbm5ld3MuY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTI5MjM3MtIBAA?oc=5;2023-04-21 07:00:00;;;;
교육부, 단기 집중교육 '부트캠프' 가동...반도체 취업 길 넓힌다 - 한국일보;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjMwNDEzMDk1MjAwMDE5NDLSAQA?oc=5;2023-04-13 07:00:00;;;;
게임연구 국제 학술단체 DiGRA, 한국 지회 출범 - ZD넷 코리아;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMzA0MTMxODE3NDDSAQA?oc=5;2023-04-13 07:00:00;;;;
청소년 넷 중 셋은 게임 이용자... 3.5%는 과몰입 우려 - 전자신문;https://news.google.com/rss/articles/CBMiJWh0dHBzOi8vd3d3LmV0bmV3cy5jb20vMjAyMzA0MDcwMDAwOTDSAQA?oc=5;2023-04-07 07:00:00;;;;
하이코두, 교육부 '디지털 새싹 캠프'서 참여형 SW·AI 교육프로그램 운영 - 뉴스와이어;https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lm5ld3N3aXJlLmNvLmtyL25ld3NSZWFkLnBocD9ubz05NjQ1MDjSAQA?oc=5;2023-04-07 07:00:00;;;;
'나는 솔로' 반전의 최종 선택에 MC들 '극과 극' 반응…'엔딩 과몰입' - 한국아이닷컴;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89Njg4NDfSAT1odHRwczovL3d3dy5oYW5rb29raS5jb20vbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTY4ODQ3?oc=5;2023-04-05 07:00:00;;;;
게임문화재단, 2023 게임문화 가족캠프 참여 가족 모집 - ZD넷 코리아;https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vemRuZXQuY28ua3Ivdmlldy8_bm89MjAyMzA0MDMxNjAzNDXSAQA?oc=5;2023-04-03 07:00:00;;;;
[인터뷰] 웅진씽크빅 “완전히 학습에 몰입할 수 있는 환경을 구축하겠다” - 조선에듀;https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWR1LmNob3N1bi5jb20vc2l0ZS9kYXRhL2h0bWxfZGlyLzIwMjMvMDMvMjkvMjAyMzAzMjkwMDg3Ni5odG1s0gEA?oc=5;2023-03-29 07:00:00;;;;
